principio;accion;indicaciones;presentacion;posologia;duracion;contraindicaciones;observaciones;otros_nombres;;
RETINOL;Vitamina ;"Prevención de la carencia de vitamina A 
- Tratamiento de la carencia de vitamina A (xeroftalmia) 
";"Cápsula de 200 000 UI 
Existen también comprimidos recubiertos de 10 000 UI, cápsulas de 50 000 UI y una solución oral de 100 000 UI/ml. 
";"Tratamiento preventivo de la carencia de vitamina A 
Niños menores de 6 meses: 50 000 UI dosis única 
Niños de 6 a 12 meses: 100 000 UI dosis única, cada 4 a 6 meses 
Niños mayores de 1 año: 200 000 UI dosis única, cada 4 a 6 meses 
- Tratamiento curativo de la carencia de vitamina A 
Niños menores de 6 meses: 50 000 UI en una toma en los días D1, D2 y D8 (o D15) 
Niños de 6 a 12 meses: 100 000 UI en una toma en los días D1, D2 y D8 (o D15) 
Niños mayores de 1 año y adultos: 200 000 UI en una toma en los días D1, D2 y D8 (o D15) 
 
";;"No sobrepasar las dosis indicadas. 
- Puede provocar en caso de sobredosificación: trastornos digestivos, cefaleas, hipertensión 
intracraneal (abombamiento de la fontanela en los niños lactantes); malformaciones fetales. 
- Embarazo: 
Prevención: únicamente después del parto, una dosis única de 200 000 UI Tratamiento: la posología varía según la gravedad de las lesiones oculares: 
• Disminución de la visión nocturna o manchas de Bitot: 10 000 UI/día en una toma o 25 000 UI/ 
semana en una toma durante 4 semanas como mínimo 
• Afectación de la córnea: 200 000 UI en una toma en los días D1, D2 y D8 (o D15) 
- Lactancia: sin contraindicaciones a las dosis recomendadas 
";"En niños con sarampión, administrar sistemáticamente 2 dosis (los días D1 y D2) para 
prevenir las complicaciones del sarampión. 
- Una cápsula de 200 000 UI contiene aproximadamente 8 gotas (1 gota = 25 000 UI). 
- Conservación: temperatura inferior a 25°C - [Medicamento particularmente sensible a la luz]
";VITAMINA A ;;
SALBUTAMOL;Broncodilatador de acción rápida ;Tratamiento sintomático de la crisis de asma ;"Suspensión para inhalación, en aerosol presurizado que libera 100 microgramos de
salbutamol por inhalación (puff) 
";"La posología depende de la severidad de la crisis y de la respuesta del paciente. A título 
indicativo: 
- 2 a 4 puffs (hasta 10 puffs segun la severidad) cada 10 a 30 minutos 
";;"Puede provocar: cefaleas, temblor, taquicardia. 
- En caso de infección bronquial, administrar simultáneamente en un antibacteriano apropiado. 
- Embarazo: sin contraindicaciones - Lactancia: sin contraindicaciones 
";"Limpiar la boquilla del dispositivo antes y después de cada uso. 
- No perforar ni incinerar los aerosoles usados. Vaciar el gas restante y enterrarlos. 
- Conservación: temperatura inferior a 30°C 
[Medicamento particularmente sensible a la luz]";ALBUTEROL aerosol ;;
SALES DE REHIDRATACIÓN ORAL;;Prevención y tratamiento de la deshidratación en caso de diarrea aguda, cólera, etc;"Polvo para diluir en un litro de agua limpia. 
";"Prevención de la deshidratación (Plan de tratamiento A - OMS) 
Niños menores de 2 años: 50 a 100 ml después de cada deposición líquida (aprox. 500 ml/día) 
Niños de 2 a 10 años: 100 a 200 ml después de cada deposición líquida (aprox. 1000 ml/día) 
Niños mayores de 10 años y adultos: 200 a 400 ml después de cada deposición líquida (aprox. 
2000 ml/día) 
 
";mientras la diarrea y los signos de deshidratación persistan. ;"En caso de aparición de edema palpebral, suspender los SRO y dar agua pura. Continuar 
luego con las SRO siguiendo el plan de tratamiento A. 
- En caso de vómitos, esperar 10 minutos y administrar de nuevo la solución en muy 
pequeñas cantidades, pero muy frecuentemente. No suspender la rehidratación. 
- Embarazo: sin contraindicaciones - Lactancia: sin contraindicaciones 
";"Existe una fórmula de SRO (ReSoMal) destinada únicamente para niños con malnutrición 
severa, que se debe utilizar bajo control médico. Sin embargo, en caso de cólera asociado a la desnutrición, administrar las SRO estándares y no el ReSoMal. 
- Conservación: 
No utilizar si el polvo ha adquirido una consistencia pastosa de color amarillento-marrón. 
Una vez preparada, la solución se debe utilizar en las 24 horas. 
[Medicamento particularmente sensible a la luz]";SRO#ORS;;
SULFADOXINA/PIRIMETAMINA; Antipalúdico ;"Tratamiento del paludismo no complicado por P. falciparum, en combinación con 
artesunato 
- Continuación del tratamiento parenteral del paludismo severo por P. falciparum, en 
combinación con artesunato 
";Comprimido coformulado de 500 mg de sulfadoxina/25 mg de pirimetamina ;Niños y adultos: 25 mg/kg de sulfadoxina y 1,25 mg/kg de sulfadoxina, dosis única ;;"No administrar en caso de alergia a las sulfamidas. 
- Puede provocar: trastornos digestivos, reacciones alérgicas a veces severas (síndromes de 
Lyell y Stevens-Johnson), anemia, leucopenia, agranulocitosis, trombopenia, anemia hemolítica en caso de deficit de G6PD. 
- No asociar con cotrimoxazol. 
- No administrar ácido fólico el día del tratamiento ni durante dos semanas después de la 
toma de SP. 
- Embarazo: sin contraindicaciones - Lactancia: sin contraindicaciones 
";"En mujeres embarazadas, en zonas de transmisión estable, pueden administrarse tratamientos presuntivos intermitentes a partir del segundo trimestre para reducir el riesgo de anemia, bajo peso al nacer, etc. Informarse sobre el protocolo nacional. 
- No debe utilizarse la SP para la profilaxis del paludismo. 
- Conservación: temperatura inferior a 30°C - 
[Medicamento particularmente sensible a la luz]";SP;;
TRICLABENDAZOL;Antihelmíntico ;"Fasciolosis por Fasciola hepatica y Fasciola gigantica 
- Paragonimosis 
";Comprimido de 250 mg ;"Fasciolosis 
Niños y adultos: 10 mg/kg dosis única 
- Paragonimosis 
Niños y adultos: 20 mg/kg divididos en 2 tomas 
";;"No administrar en caso de hipersensibilidad al triclabendazol u otros benzimidazoles 
(albendazol, flubendazol, mebendazol, tiabendazol). 
- Puede provocar: dolor abdominal, febrícula, cefaleas, vértigo. 
- Embarazo: sin contraindicaciones - Lactancia: sin contraindicaciones 
";" Tomar los comprimidos después de una comida. 
- Por su eficacia, buena tolerancia y facilidad de administración, el triclabendazol es el 
fármaco de elección para el tratamiento de la fasciolosis. 
- En el tratamiento de fasciolosis, el bitionol (Bitin®, Lorothidol®) puede utilizarse como 
alternativa al triclabendazol, a la dosis de 30 mg/kg/día durante 5 días. 
- Todas las distomatosis pueden ser tratadas con prazicuantel, excepto las fasciolosis por 
Fasciola hepatica y Fasciola gigantica en las cuales es ineficaz. 
- Conservación: temperatura inferior a 30°C - 
[Medicamento particularmente sensible a la luz]";;;
Sulfato de ZINC ;Micronutriente;"Complemento a la rehidratación oral en caso de diarrea aguda y/o persistente en niños 
menores de 5 años 
";"Comprimido divisible y dispersable de 20 mg, envase blister 
- Jarabe de 20 mg/5 ml 
";"Niños menores de 6 meses: 10 mg/día (1/2 comprimido o 1/2 cucharilla de café/día) en 
una toma durante 10 días 
- Niños de 6 meses a 5 años: 20 mg/día (1 comprimido o 1 cucharilla de café/día) en una 
toma durante 10 días 
Poner 1/2 o 1 comprimido en una cucharilla de café, añadir un poco de agua para disolverlo 
y administrar el contenido al niño. 

";;"Sin contraindicaciones. 
- En caso de vómitos en los 30 minutos siguientes a la toma, administrar de nuevo el 
comprimido. 
- No administrar simultánemente con sales de hierro, dejar un intervalo de 2 horas entre las 
tomas. 
";"El sulfato de zinc se utiliza como complemento a la rehidratación oral, con el fin de reducir 
la duración y la severidad de la diarrea así como el riesgo de recidivas en los 2-3 meses siguientes al tratamiento. No reemplaza en ningún caso la rehidratación oral que sigue siendo indispensable (ni tampoco el tratamiento antibacteriano en los pocos casos específicos en que está indicado). 
- En niños que reciben alimentos terapéuticos (BP100®, Plumpy' nut®, leche F75® o F100®, 
etc.), el aporte suplementario de zinc no está indicado en caso de diarrea porque estos alimentos ya contienen zinc. 
- Conservación: temperatura inferior a 30°C -  -
Los comprimidos están acondicionados en envase blister. No sacarlos de su envase con antelación. Una vez sacado del blister, el comprimido debe ser diluido y administrado inmediatamente. 
[Medicamento particularmente sensible a la luz]
";;;
"AMPICILINA 
y AMOXICILINA 
";Antibacteriano del grupo de las penicilinas ;"Infecciones severas: neumopatías, meningitis, septicemia, endocarditis, fiebre puerperal, pielonefritis, etc., sola o en combinación con otros antibacterianos según la indicación, únicamente si no es posible la vía oral 
";"[Prescripción bajo control médico]                                              Polvo para inyección en viales de 500 mg y 1 g, para disolver en agua ppi o cloruro de sodio al 0,9%, para inyección IM, IV lenta (en 3 a 5 minutos) o perfusión (en 20 a 30 minutos) en una solución de cloruro de sodio al 0,9% 
";"La dosis diaria debe administrarse en al menos 3 inyecciones o perfusiones, espaciadas 8 horas. 
La posología y las indicaciones de amoxicilina y ampicilina por vía inyectable son las mismas: 
-Niños: 100 mg/kg/día divididos en 3 inyecciones o perfusiones.                                                                                        - Adultos: 3 a 4 g/día divididos en 3 a 4 inyecciones o perfusiones. 
En caso de pielonefritis o fiebre puerperal, aumentar la posología: 
-Niños: 200 mg/kg/día divididos en 3 inyecciones o perfusiones.
-Adultos: 8 g/día divididos en 3 a 4 inyecciones o perfusiones. 
En caso de meningitis, septicemia o endocarditis: 
-Niños: 200 mg/kg/día divididos en 3 a 4 inyecciones o perfusiones o administrados en perfusión continúa. 
-Adultos: 12 g/día divididos en 3 a 4 inyecciones o perfusiones o administrados en perfusión continúa. 
";Según la indicación. Pasar a la vía oral lo antes posible. ;"No administrar en caso de alergia a las penicilinas, mononucleosis infecciosa. 
Administrar con precaución en caso de alergia a las cefalosporinas (alergia cruzada posible). - Puede provocar: trastornos digestivos, reacciones alérgicas a veces severas. En caso de 
reacción alérgica, suspender el tratamiento inmediatamente. 
Reducir la posología en caso de insuficiencia renal severa. - No asociar con metotrexato. 
Embarazo: sin contraindicaciones                                                                                                                         Lactancia: sin contraindicaciones 
";"No mezclar con otros medicamentos en la misma jeringa o perfusión. 
Conservación: temperatura inferior a 30ºC - 
• La ampicilina es estable durante 12 horas si se diluye en cloruro de sodio al 0,9%; y durante 4 horas si 
se diluye en glucosa al 5%. 
• La amoxicilina es estable durante 6 horas si se diluye en cloruro de sodio al 0,9%; y durante 1 hora si 
se diluye en glucosa al 5%. 
[Medicamento particulamente sensible a la luz]";;;
ANFOTERICINA B convencional ;Antifúngico;"Criptococosis neuro-meníngea, en combinación con flucitosina o fluconazol. 
Peniciliosis o histoplasmosis severas. 
";"[Prescripción bajo control médico]                              Polvo para inyección, en vial de 50 mg, para disolver en 10 ml de agua ppi y obtener una 
solución concentrada que contenga 5 mg/ml. La solución concentrada debe diluirse en un frasco de 500 ml de glucosa al 5% para obtener una solución para perfusión IV que contenga 0,1 mg/ml. 
";"Niños y adultos: 0,7 a 1 mg/kg/día administrado en 4 a 6 horas según la tolerancia, durante 2 semanas (criptococosis, peniciliosis) o 1 a 2 semanas (histoplasmosis). 
";;"Administrar con precaución en caso de insuficiencia renal. 
Puede provocar: 
• reacciones de intolerancia durante la perfusión: fiebre, escalofríos, cefaleas, nauseas, 
vómitos, hipotensión; reacción local: dolor, tromboflebitis en el lugar de inyección; 
reacciones alérgicas; 
• dolor muscular y articular, trastornos cardiovasculares (arritmias, insuficiencia 
cardiaca, hipertensión, paro cardiaco), neurológicos (convulsiones, trastornos de la 
visión, vértigos), hematológicos, hepáticos; 
• nefrotoxicidad (disminución del filtrado glomerular, hipopotasemia, hipomagnesemia). 
Evitar la asociación con: medicamentos inductores de hipopotasemia (furosemida, corticoides), nefrotóxicos (amikacina, ciclosporina); digoxina, zidovudina, tenofovir. 
Administrar sistemáticamente 500 ml a 1 litro de cloruro de sodio al 0,9% o de lactato de 
ringer antes cada perfusión de anfotericina B para reducir la toxicidad renal. 
En adultos, suplementar con potasio (4 cp de 8 mmol/día divididos en 2 tomas) y 
magnesio (1 g/día dividido en 2 tomas) desde que la vía oral sea posible, hasta el fin del tratamiento. 
En caso de reacciones de intolerancia, interrumpir la perfusión, administrar paracetamol o 
un antihistamínico y después reemprender la perfusión reduciendo la velocidad de administración a la mitad. 
Controlar la creatinina sérica y si es posible la potasemia (1 a 2 veces/sem.) durante toda 
la duración del tratamiento. 
Si la creatininemia aumenta en más del 50%, aumentar la hidratación preventiva (1 litro 
cada 8 horas) o suspender el tratamiento y reemprenderlo después de la mejoría, a la dosis más baja o cada 2 días. 
Utilizar la anfotericina Bliposómica (AmBisome®) si la creatinina re-aumenta o si el 
aclaramiento es < 30 ml/minuto o si hay insuficiencia renal severa previa. 
Embarazo: en caso de administración durante el último mes, controlar la función renal del recién nacido. 
Lactancia: debe ser evitado, excepto en caso de necesidad vital 
";"Administrar únicamente diluida en glucosa al 5% (incompatible con otras soluciones de perfusión). No utilizar la preparación si hay una precipitación (solución de glucosa demasiado ácida). 
No mezclar con otros medicamentos en la misma perfusión. 
Durante la administración, proteger la perfusión de la luz (envolver el frasco con un papel 
oscuro). 
En la criptococosis, el fluconazol solo a dosis altas es una alternativa si es imposible 
utilizar anfotericina B convencional o liposómica. 
Conservación: 
• Polvo en vial: en frigorífico (entre 2ºC y 8ºC); si no hay frigorífico, 7 días como máximo a una 
temperatura inferior a 25ºC. 
• Solución concentrada (5 mg/1 ml): 24 horas como máximo en frigorífico (entre 2ºC y 8ºC). • Solución para perfusión (0,1 mg/ml): utilizar inmediatamente. 
[Medicamento particulamente sensible a la luz]";;;
ANFOTERICINA B liposómica ;Antifúngico ;"Criptococosis neuro-meníngea, cuando la anfotericina B convencional está contra-indicada (insuficiencia renal severa previa o insuficiencia renal adquirida durante el tratamiento). 
Leishmaniasis cutáneo-mucosa o visceral.
Histoplasmosis severa. 
";"[Prescripción bajo control médico]                                     Polvo para inyección, en vial de 50 mg, para disolver en 12 ml de agua ppi y obtener una 
suspensión concentrada que contenga 4 mg/ml. 
Aspirar con una jeringa el volumen de suspensión correspondiente a la dosis prescrita. 
Conectar a la jeringa el filtro facilitado con el vial; instilar el contenido de la jeringa a través del filtro en el volumen de glucosa al 5% necesario (50 ml, 250 ml o 500 ml) para obtener una solución a una concentración comprendida entre 0,2 y 2 mg/ml, para perfusión IV.
";"Criptococosis neuro-meníngea, histoplasmosis severa: 
-Niños mayores de 1 mes y adultos: 3 mg/kg/día administrados en 30 a 60 minutos, durante 2 semanas. 
Leishmaniasis cutáneo-mucosa o visceral: 
Atenerse al protocolo en vigor, que varía de una región a otra (dosis precisa, esquema de administración, etc.). A título indicativo, la dosis total en niños mayores de 1 mes y adultos es de 15 a 30 mg/kg. 
";;"Puede provocar: 
• reacciones de intolerancia durante la perfusión: fiebre, escalofríos, cefaleas, nauseas, 
vómitos, hipotensión; reacción local: dolor, tromboflebitis en el lugar de inyección; 
reacciones alérgicas; 
• trastornos digestivos, renales (elevación de la creatinina, de la urea, insuficiencia renal), hipopotasemia, hipomagnesemia, aumento de las enzimas hepáticas; raramente, trastornos hematológicos (trombocitopenia, anemia). 
Evitar la asociación con: medicamentos inductores de hipopotasemia (furosemida, corticoides), nefrotóxicos (amikacina, ciclosporina); digoxina, zidovudina. 
La perfusión puede ser administrada en 2 horas si es necesario para evitar o reducir las 
reacciones adversas. 
Controlar la creatinina sérica y si es posible la potasemia (1 a 2 veces/semana) durante 
toda la duración del tratamiento; adaptar los tratamientos adyuvantes (aporte en potasio y magnesio) en función de los resultados. 
En caso de agravamiento de los trastornos renales, reducir la posología a la mitad durante 
algunos días. 
Embarazo: en caso de administración durante el último mes, controlar la función renal del recién nacido. 
Lactancia: debe ser evitado, excepto en caso de necesidad vital 
";"La anfotericina B liposómica es mejor tolerada y menos nefrotóxica que la anfotericina B 
convencional. 
No mezclar con otros medicamentos en la misma perfusión; no utilizar la preparación si 
hay una precipitación. 
Antes de la perfusión, lavar el catéter venoso con glucosa al 5%. 
Conservación: 
• Polvo en vial: en frigorífico (entre 2ºC y 8ºC) o a una temperatura inferior a 25ºC. 
• Soluciones (concentrada o para perfusión): 24 horas en frigorífico (entre 2ºC y 8ºC). 
";;;
ATROPINA ;Parasimpaticolítico, antispasmódico ;"Premedicación en anestesia. 
Espasmos dolorosos del aparato digestivo.
Intoxicación por insecticidas organofosforados. 
";"[Prescripción bajo control médico]                             Ampolla de 1 mg de sulfato de atropina (1 mg/ml, 1 ml) para inyección SC, IM, IV. 
Existen también ampollas de 0,25 mg/ml y 0,5 ml/ml.
";"Premedicación en anestesia: 
-Niños: 0,01 a 0,02 mg/kg por vía SC o IV 
-Adultos: 1 mg por vía SC o IV 
Espasmos dolorosos del aparato digestivo :
-Niños de 2 a 6 años: 0,25 mg por vía SC, dosis única 
-Niños mayores de 6 años: 0,5 mg por vía SC, dosis única. 
-Adultos: 0,25 a 1mg por vía SC. repetir cada 6 horas si es necesario, sin sobrepasar 2 mg/día                         Intoxicación por insecticidas organofosforados: 
-Niños: 0,02 a 0,05 mg/kg por vía IM o IV lenta 
-Adultos: 2 mg por vía IM o IV lenta. 
Repetir las dosis cada 5 a 10 minutos, hasta que aparezcan signos de los efectos de la tropinización (disminución de las secreciones, taquicardia, midriasis). 
";;"No administrar en caso de patología uretro-prostática, trastornos cardiacos, glaucoma; 
fiebre alta en el niño. 
Puede provocar: retención urinaria, sequedad de boca, estreñimiento, vértigo, cefaleas, 
midriasis, taquicardia. 
Administrar con precaución y bajo vigilancia médica en caso de asociación con otros medicamentos anticolinérgicos (antidepresivos, neurolépticos, antihistamínicos H1, antiparkinsonianos, etc.). 
Embarazo: sin contraindicaciones; NO TRATAMIENTOS PROLONGADOS 
Lactancia: debe ser evitado; NO TRATAMIENTOS PROLONGADOS 
";"La atropina por vía IV se utiliza también para prevenir los efectos bradicardizantes de la neostigmina cuando se emplea para revertir los efectos del oscurarizantes. Dosis: 0,02 mg/kg en niños; 1 mg en adultos. 
No mezclar con otros medicamentos en la misma jeringa. 
Conservación: temperatura inferior a 30°C - 
[Medicamento particulamente sensible a la luz] ";;;
BENCILPENICILINA;Antibacteriano del grupo de las penicilinas de acción rápida y eliminación rápida (6 horas);"Infecciones severas: neumonía, neurosífilis, meningitis, fascitis necrosante, gangrena gaseosa, septicemia, endocarditis, etc., sola o en combinación con otros antibacterianos 
según la indicación. 
";"[Prescripción bajo control médico]                             Polvo para inyección en viales de 1 M u I (600 mg) y 5 M u I (3 g), para inyección IM, IV (en el sistema de perfusión) o perfusión. 
";"Neumonía grave: 
-Niños mayores de 2 meses: 200 000 a 400 000 u I (120 a 240 mg)/kg/día divididos en 4 inyecciones 
-Adultos: 8 a 12 M u I (4,8 a 7,2 g)/día divididos en 4 inyecciones 
Neurosífilis: 
-Adultos: 12 a 24 M u I (7,2 a 14,4 g)/día divididos en 6 inyecciones 
Meningitis, fascitis necrosante por estreptococo, gangrena gaseosa, carbunco: 
-Niños: 600 000 u I (360 mg)/kg/día divididos en 6 inyecciones 
-Adultos: 24 M u I (14,4 g)/día divididos en 6 inyecciones 
";"Neumonía: 5 días como mínimo. Neurosífilis y meningitis por meningococo o neumococo: 14 días. 
fascitis y gangrena: 7 días como mínimo.                                           Carbunco: 7 a 10 días 
";"No administrar en caso de alergia a las penicilinas. 
Administrar con precaución en caso de alergia a las cefalosporinas (alergia cruzada posible). 
Puede provocar: 
• trastornos digestivos, reacciones alérgicas a veces severas. En caso de reacción alérgica, 
suspender el tratamiento inmediatamente, 
• reacción de Jarish-Herxheimer en caso de sífilis (utilizar prednisolona oral en revención: 3 dosis de 20 mg, espaciadas 12 horas), 
• neurotoxicidad en caso de insuficiencia renal o con dosis elevadas administradas por 
vía IV rápida. 
Reducir la posología en caso de insuficiencia renal severa. Dosis máxima: 10 M u I/día 
(6 g/día) en adultos. 
No asociar con metotrexato. 
Embarazo: sin contraindicaciones                                                                                                          Lactancia: sin contraindicaciones 
";"No confundir la bencilpenicilina de acción rápida, que se puede utilizar por vía IV, con las 
penicilinas de acción prolongada (bencilpenicilina procaína y benzatina bencilpenicilina), que no se deben utilizar nunca en IV ni en perfusión. 
No mezclar con otros medicamentos en la misma jeringa o perfusión. 
Conservación: temperatura inferior a 30ºC - 
Una vez preparada, la suspensión debe ser utilizada inmediatamente. 
[Medicamento particulamente sensible a la luz] ";PENICILINA G    ;;
BENCILPENICILINA PROCAÍNA;Antibacteriano del grupo de las penicilinas de acción prolongada (12 a 24 horas);"Difteria, neumonía, erisipela y celulitis, carbunco cutáneo. 
Neurosífilis, en combinación con probenecid. 
";"[Prescripción bajo control médico]                               Polvo para inyección en viales de 1MuI (1g) y 3 M u I (3 g), para disolver en agua ppi, 
para inyección IM. Nu NCA IV NI PEr Fu SIÓN. 
";"Niños: 50 000 u I/kg/día (50 mg/kg/día) en una inyección, sin sobrepasar 1,5 M u I. 
Adultos: 1 a 1,5 M u I/día en una inyección (para neurosífilis, 2,4 M u I/día). 
";"Difteria: 7 días; neumonía, carbunco, erisipela.                                                        celulitis: 7 a 10 días.                               neurosífilis: 10 a 14 días ";"No administrar en caso de alergia a las penicilinas y/o la procaína. 
Administrar con precaución en caso de alergia a las cefalosporinas (alergia cruzada posible). - Administrar con precaución a niños menores de 1 año: riesgo de convulsiones y alergia debido a la procaína. 
Puede provocar: 
•dolor en el lugar de inyección, trastornos digestivos, reacciones alérgicas a veces severas. En caso de reacción alérgica, suspender el tratamiento inmediatamente. 
•reacción de Jarish-Herxheimer en caso de sífilis (utilizar prednisolona oral en prevención: 3 dosis de 20 mg, espaciadas 12 horas). 
- r educir la posología en caso de insuficiencia renal severa.                                                          - No asociar con metotrexato. 
- Comprobar la ausencia de reflujo sanguíneo durante la inyección IM. La inyección accidental en un vaso sanguíne o puede provocar: isquemia en el lugar de inyección, rastornos neurológicos y psíquicos (agitación, alucinaciones, convulsiones). 
Embarazo: sin contraindicaciones                                                                                                       Lactancia: sin contraindicaciones 
";"En el tratamiento de la neurosífilis, se administra bencil penicilina procaína en combinación con probenecidoral (2g/día divididos en 4 tomas, espaciadas 6 horas) durante toda la duración del tratamiento. 
En algunos países, la bencil penicilina procaína se sustituye por una combinación de pencilpenicilina procaína (3 M u I) + bencilpenicilina (1 M u I), a menudo denominada penicilina procaína fuerte (PPF), que tiene la ventaja de poseer una acción inmediata gracias a la bencilpenicilina seguida de una acción retardada gracias a la bencilpenicilina procaína. 
No mezclar con otros medicamentos en la misma jeringa. 
Conservación: Una vez preparada, la suspensión debe ser utilizada inmediatamente. 
[Medicamento particulamente sensible a la luz] "; PENICILINA G PROCAÍNA ;;
"BENCILPENICILINA PROCAÍNA/BENCILPENICILINA 
= PENICILINA PROCAÍNA FUERTE o PPF 
";"Antibacteriano del grupo de las penicilinas de doble acción: prolongada (12 a 24 horas) 
por la bencilpenicilina procaína, e inmediata por la bencilpenicilina 
";Difteria, neumonía, erisipela y celulitis, carbunco cutáneo ;"[Prescripción bajo control médico]                                         Polvo para inyección en vial de 3 M u I (3 g) de bencilpenicilina procaína + 1 M u I (1 g) de 
bencilpenicilina, para disolver en 8 ml de agua ppi, para inyección IM. Nu NCA IV NI PEr Fu SIÓN. 
";"Niños: 50 000 u I/kg/día (50 mg/kg/día) en una inyección, sin sobrepasar 1,5 M u I 
Adultos: 1 a 1,5 M u I/día en una inyección 
";Difteria: 7 días.                                             neumonía: 5 días como mínimo.                      carbunco, erisipela, celulitis: 7 a 10 días. ;" No administrar en caso de alergia a las penicilinas y/o la procaína. 
Administrar con precaución en caso de alergia a las cefalosporinas (alergia cruzada posible).                                                                                                                                            Administrar con precaución a niños menores de 1 año: riesgo de convulsiones y alergia debido a la procaína. 
Puede provocar: dolor en el lugar de inyección, trastornos digestivos, reacciones alérgicas 
a veces severas. En caso de reacción alérgica, suspender el tratamiento inmediatamente. - Reducir la posología en caso de insuficiencia renal severa. - No asociar con metotrexato. 
Comprobar la ausencia de reflujo sanguíneo durante la inyección I M. La inyección accidental en un vaso sanguíneo puede provocar: isquemia en el lugar de inyección,trastornos neurológicos y psíquicos (agitación, alucinaciones, convulsiones). 
Embarazo: sin contraindicaciones.                                                                                                   Lactancia: sin contraindicaciones. 
";"No mezclar con otros medicamentos en la misma jeringa. 
Conservación: Una vez preparada, la suspensión debe ser utilizada inmediatamente. 
[Medicamento particulamente sensible a la luz] ";;;
BENZATINA BENCILPENICILINA ;Antibacteriano del grupo de las penicilinas de acción prolongada (15 a 20 días) ;"Tratamiento de la sífilis (excepto neurosífilis). 
Tratamiento de treponematosis endémicas: bejel, pian, pinta. 
Tratamiento de la angina por estreptococo. 
Prevención del reumatismo articular agudo. 
Tratamiento de la difteria, profilaxis de la difteria en caso de contacto directo. 
";"[Prescripción bajo control médico]                                              Polvo para inyección en vial de 2,4 M u I (1,44 g), para disolver en 8 ml de agua ppi, para 
inyección IM. Nu NCA IV NI PEr Fu SIÓN. Agitar antes de usar. 
Existen también viales de 1,2 M u I (0,72 g) para disolver en 4 ml y viales de 0,6 M u I (0,36 g) para disolver en 2 ml. 
";"Tratamiento de la sífilis: 
-Adultos: 2,4 M u I/inyección. Sífilis precoz: dosis única; sífilis tardía o sífilis de duración desconocida: una inyección por semana durante 3 semanas. Repartir la dosis en 2 inyecciones, la mitad de la dosis en cada nalga. 
Bejel, pian, pinta, angina por estreptococo, prevención y tratamiento de la difteria: 
-Niños de menos de 30 kg: 600 000 u I, dosis única 
-Niños de más de 30 kg y adultos: 1,2 M u I, dosis única 
Prevención del reumatismo articular agudo: 
-Niños de menos de 30 kg: 600 000 u I 
-Niños de más de 30 kg y adultos: 1,2 M u I 
En la prevención primaria, administrar una dosis única; en la prevención secundaria, administrar una inyección cada 3 a 4 semanas. 
";"
";"No administrar en caso de alergia a las penicilinas. 
Administrar con precaución en caso de alergia a las cefalosporinas (alergia cruzada posible). 
Puede provocar: 
• trastornos digestivos, reacciones alérgicas a veces severas. En caso de reacción alérgica, 
suspender el tratamiento inmediatamente, 
• reacción de Jarish-Herxheimer en caso de sífilis. 
Comprobar la ausencia de reflujo sanguíneo durante la inyección I M. La inyección accidental en un vaso sanguíneo puede provocar un paro cardiorespiratorio.                                         No asociar con metotrexato. 
Embarazo: sin contraindicaciones                                                                                                                                                   Lactancia: sin contraindicaciones ";"La benzatina bencilpenicilina (también llamada penicilina G benzatina) es una penicilina de acción prolongada (15 a 20 días). No confundir con la bencil penicilina (también llamada penicilina G) que es una penicilina de acción corta (6 horas). 
La benzatinabencil penicilina no debe utilizar sea título preventivo, excepto para el reumatismo articular agudo y difteria. 
No mezclar con otros medicamentos en la misma jeringa. 
Conservación: temperatura inferior a 30°C - 
Una vez preparada, la suspensión se conserva durante 24 horas como máximo, en frigorífico (entre 2ºC y 8ºC). 
[Medicamento particulamente sensible a la luz] ";;;
BICARBONATO DE SODIO al 8,4% ;Acidosis metabólica severa ;Ampolla de 10 ml o 20 ml ;"[Prescripción bajo control médico]                                  Bicarbonato de sodio: 8,4 g por 100 ml. 
Solución hipertónica. 
Contenido en iones: sodio (Na+) : 10 mmol (10 Eq) por ampolla de 10 ml bicarbonato : 10 mmol (10 Eq) por ampolla de 10. 
  ";"
";;"No utilizar en caso de alcalosis metabólica o acidosis respiratoria. 
No administrar las soluciones hipertónicas por vía IM ni SC. Administrar, bajo estricto control médico, por vía IV directa lenta o en perfusión después de diluirlas en un frasco de solución de glucosa al 5%. 
- Contiene una elevada concentración de iones bicarbonato y sodio. La acidosis metabólica 
por deshidratación raramente justifica tales aportes. Su utilización mal controlada entraña el riesgo de inducir hipernatremias e hipocaliemias. 
No añadir a la perfusión de bicarbonato de sodio: penicilinas, cloranfenicol, aspirina, atropina, calcio, insulina, vitaminas, etc. 
Conservación: temperatura inferior a 30ºC ";Conservación: temperatura inferior a 30ºC  [Medicamento particulamente sensible a la luz] ;;;
